systemId,huc6
1105000028,011000
4305000001,010100
4305000003,010900
1105000077,011000
1105200078,011000
1105000060,010900
4305000004,010802
4305000005,010802
4305000006,010802
4305000007,010600
4305000010,010802
4305000011,010802
4305000012,010802
4305000013,010802
4305000014,010802
4305000015,010802
4305000016,010802
4305000008,010802
4305000009,010802
4305000017,011000
4305000018,011000
4305000019,010700
1105100066,010600
4305000020,010900
1105000089,010802
1105100038,010802
1105200038,010802
1105200044,010802
4305000022,010802
1105000045,010900
4305000023,010900
4305000024,010900
1105000051,010802
4305000026,010700
4305000025,010700
4305000027,010700
4305000029,010802
4305000028,010802
4305000030,010802
4305000031,010802
4305000032,010802
4305000033,011000
4305000035,011000
4305000034,011000
4305000036,011000
4305000037,011000
4305000038,011000
4305000039,010900
4305000040,010900
4305000041,011000
4305000042,011000
4505000019,011000
4505000020,011000
4305000043,010200
4305000044,010802
4305000046,010100
4305000047,010300
4305000048,010300
4305000049,011000
4305000050,010900
1105000067,010900
1105000072,010802
1105000015,010802
4305000051,011000
4305000051,020302
4305000052,010700
4305000053,010900
4305000054,010900
4305000055,010900
1105000068,010900
1105000001,010700
4305000058,011000
4305000059,011000
1105000055,010802
1105000009,010802
1105000019,010900
4305000061,010802
1105300080,020200
4505000037,020200
4505000001,020200
4505000002,020200
4505000003,020200
4505000004,020200
2305260001,020501
2305150001,020700
2305150003,020700
4805000001,020401
1305000136,020401
1305000345,020700
4505000005,020301
2305150002,020700
2305150004,020700
2305370001,020501
2305540001,020403
2305030001,020501
2305480001,020700
2305040001,020501
4505000006,020200
4805000003,020401
2305020001,020700
2305180001,020700
2305020002,020700
500005000002,020501
500005000002,020501
4605000004,020802
2305350001,020502
1305400010,020700
4805000004,020402
2305600003,020502
2305600004,020502
4805000005,020402
2305290002,020600
2305020003,020700
2305090001,020501
2305100001,020700
2305400001,020501
4805000006,020401
1205000253,020200
2305410001,020501
2305050001,020700
4805000008,020401
2305160001,020501
4805000009,020401
4805000010,020401
4505000008,020301
4505000009,020301
4505000010,020301
4505000007,020301
2305110001,020501
500005000006,020502
2305130001,020501
1205000023,020501
2305420001,020503
2305140001,020700
2305430001,020502
